Data Set (ARI),Type,SOM (Fed),KMeans - device min clusters - server min rep points (Fed),KMeans - device min clusters - server mid rep points (Fed),KMeans - device min clusters - server max rep points (Fed),KMeans - device mid clusters - server min rep points (Fed),KMeans - device mid clusters - server mid rep points (Fed),KMeans - device mid clusters - server max rep points (Fed),KMeans - device max clusters - server min rep points (Fed),KMeans - device max clusters - server mid rep points (Fed),KMeans - device max clusters - server max rep points (Fed),KMeans Carry - device min clusters - server min rep points (Fed),KMeans Carry - device min clusters - server mid rep points (Fed),KMeans Carry - device min clusters - server max rep points (Fed),KMeans Carry - device mid clusters - server min rep points (Fed),KMeans Carry - device mid clusters - server mid rep points (Fed),KMeans Carry - device mid clusters - server max rep points (Fed),KMeans Carry - device max clusters - server min rep points (Fed),KMeans Carry - device max clusters - server mid rep points (Fed),KMeans Carry - device max clusters - server max rep points (Fed),KMeans Keep - device min clusters - server min rep points (Fed),KMeans Keep - device min clusters - server mid rep points (Fed),KMeans Keep - device min clusters - server max rep points (Fed),KMeans Keep - device mid clusters - server min rep points (Fed),KMeans Keep - device mid clusters - server mid rep points (Fed),KMeans Keep - device mid clusters - server max rep points (Fed),KMeans Keep - device max clusters - server min rep points (Fed),KMeans Keep - device max clusters - server mid rep points (Fed),KMeans Keep - device max clusters - server max rep points (Fed)
moons,vhigh,0.27345179910813155,0.18564025107397458,0.10845364774554284,0.1989283881705926,0.1669564487337665,0.1373551644751242,0.0035111663424662386,0.1973657087468714,0.11164399369234489,0.045964986201044195,0.16923751725768424,0.12497672223441644,0.008839146382801507,0.19346690620856513,0.460734694217416,0.2667547011050044,0.2050290431822001,0.025393627071984715,0.09429119172120519,0.21083128668171383,0.6644678546158296,0.07219852901843582,0.17641219590304358,0.23956477358332695,0.11278810145502993,0.1253505159918682,0.3761407609155821,0.011206188501676786
moons,high,0.0024143134331020217,0.2401396111051261,0.11692717698954737,0.14445247319083454,0.12376907092847801,0.7865807256611203,0.0024179202134255373,0.3568137097036241,0.058198448341521,0.1686689083589346,0.18185953428534854,0.769325381944191,0.1545461988438469,0.14653500328203867,0.662360272291279,0.03259772765992904,0.03194563238413768,0.06474326950593902,-6.707276736407992e-05,0.30550051045585636,0.7762751925391158,0.050848056021488626,0.4300581999844125,0.14024016542229545,0.008057790450390767,0.14710056621610174,0.3468818323523717,0.03532216328977639
moons,med,0.32783061492387044,0.10073664723072291,0.46282431900314097,0.1515728587190278,0.1571403975814691,0.5070281612563494,0.7426974389892399,0.39803011184152615,0.5671813842781731,0.12089985987929978,0.34219248400571567,0.698359572465565,0.32792152389386575,0.14602104547150815,0.16949989083453698,0.12931893236843428,0.09340361243983394,0.5017284084007645,-0.0012463202609018847,0.19233402889106932,0.6142240049986711,0.9296644816258908,0.32040372071975043,0.26321924364340826,0.05869360229273637,0.13374652247804655,0.3868177361333494,0.009808079531618179
moons,low,0.11147374188603522,0.16215019683638765,0.41068259209001456,0.7756165003942901,0.13592517991972583,0.6327920328398151,0.7321312694621755,0.16298861043162552,0.9533655315010873,0.004071235108644585,0.07492734134339579,0.685295762450953,0.5745300406097228,0.22756274474355825,0.653788951725487,0.752794136797242,0.267716446506868,0.7128103525780297,0.9156093309823556,0.15643466414776216,0.6797963865228243,0.0007474487255635905,0.3068679305182597,0.029215465304209435,0.8048258443435891,0.09084462655382558,0.5215036371492607,0.9375703461595994
moons,vlow,0.24890016370972715,0.21433434826216982,0.7425045638999201,0.8971996192727483,0.2964646296511473,0.7899792450955596,0.7579388933549138,0.07382078035060377,0.6706107565149477,0.9921888665986252,0.1876179235296112,0.5669295989189121,0.46482200142666846,0.0925647902370375,0.8033715640031336,0.7426529594391341,0.1580024260759383,0.66470444818249,0.9702606162720785,0.387213820630695,0.2987212010730468,0.7412648396889768,0.16359727125736884,0.8058428274198255,0.7579388933549138,0.09091324468231778,0.7452847060829682,0.9609441572022599
circles,vhigh,0.015565305955813747,0.2087826155073334,0.31487284871564564,0.014466557104159918,0.16737642047944212,0.23597539365995146,0.008944795385012043,0.008985078125563883,0.024433275501654843,0.0015687346108422247,0.19396020479943013,0.3849130724632867,0.0026419777066076173,0.23193289844811052,0.37103195433524655,0.006617707914050049,0.02178652878873387,0.0023446839458457253,0.13725669467133986,0.011834683260909726,0.556132555571588,0.0347187749648333,0.21895287535055635,0.21025167795650657,0.008876045724436891,0.05382023581815306,0.12860564532146074,0.028464519753965602
circles,high,0.0010780208878626782,0.1494070553862761,0.05461715117334807,0.1722512523030466,0.07692081152296694,0.39610509363090696,0.12415037757586048,0.23380407957056532,0.1677208758114616,0.04996539528918015,0.10668251518494995,0.4491851942558133,0.025304901353142895,0.04352381198008074,0.5203159667078237,0.046238386196389425,0.00037092003409754364,0.2496343027574451,0.002926820517616302,0.2648901875405373,0.4290404950902247,0.035981990226522126,0.034173369000325325,0.08856304157759774,0.0018584183434100167,0.008272001385377484,0.2401116802013646,0.012141909467051175
circles,med,0.018785723781229727,0.21583613360285414,0.3355443075331422,0.3901705995310734,-0.00024668859298933933,0.3512716204906407,0.2712444683976088,0.012195006205214489,0.08828452009778293,0.005427985417967954,0.000738828801148185,0.32996109643743143,0.27595286577626926,0.05152949656965318,0.201831580034381,0.8444723186512276,-0.0003520923594315089,0.3809135737895848,0.002482844675110896,0.24713670174157265,0.5842791829814619,0.0726093345138507,0.12785708810063107,0.1695216726093262,0.14458203761796057,0.002235074824913759,0.30376442853771374,0.0014598228802810522
circles,low,0.003602964522726813,0.005911143882916283,0.5258932991230811,0.03866142497600762,0.08763575099191519,0.23649924160002184,0.7589328435910548,0.029663693801514072,0.512086420264207,0.9456190148302251,0.04327025719584242,0.22792633973631127,0.07562182034221915,-0.00044038311445181123,0.4888443253800456,0.06178297004804825,0.03153072895799756,0.4559379796500582,0.17506105689637977,0.13513317834425329,0.35406726501211816,0.10536605485566618,0.009615650518396376,0.17950489992637425,0.06474789112169774,-0.0005008659667611113,0.31293821717577847,0.13023369578971902
circles,vlow,0.00114198802272999,0.02215220741445533,0.7038077468497494,0.06449724470880971,0.1372613462032319,0.7050939398905521,0.7585842340244758,-0.00033867774046432734,0.3732312736216483,0.7545345822509073,0.002792124197058187,0.37786287411803243,0.013945338713036928,0.06977417744279263,0.37189381304173735,0.9696388341071434,0.003002518740077487,0.017795673613659573,0.02435174344633508,0.00014807518119746313,0.6287622097200709,0.16100407865679817,0.007692520353627605,0.6768989867022911,0.9912092807458233,7.454558229140327e-06,0.44070879844087313,0.9721679442530216
longblobs,vhigh,0.17948406916485912,0.23005210774739923,0.26110971448863285,-1.4561703195637672e-05,0.2869567977901327,0.33276772140848243,0.001774431913835998,0.03603275839033215,0.12339670939290445,-1.4561703195637672e-05,0.24821236286186252,0.2736462973053325,0.008870616813497226,0.022091134357087955,0.22684764641062552,0.00022568334398972347,0.16478165371732223,0.06806895251167398,-1.4561703195637672e-05,0.266732033816851,0.12834780135546425,-1.4561703195637672e-05,0.0561079438681717,-9.193768092663232e-06,-1.4561703195637672e-05,0.08407853307655525,0.07481431981215284,-4.118503218865968e-05
longblobs,high,0.23668752620197367,0.08709256267839731,0.3197252614410239,0.010501090957973247,0.04983169321572329,-4.980396883592403e-05,0.0011692112270428193,0.03251362631102273,0.23631978032263018,5.678821096372178e-05,0.23850553097651142,0.221151814704332,-3.753101902713226e-05,0.07512656103840998,0.25893727847974735,0.015825763928925464,0.021026664461124202,0.12238515115552498,-1.4561703195637672e-05,0.100281123109063,-0.0001602176101051952,-1.4561703195637672e-05,0.025821592275728753,0.18632053290715797,0.016780186367319504,0.05491105927637582,0.23478410951902726,0.004941593746056604
longblobs,med,0.2599224721340221,0.18628877664836507,-0.00012937494454134203,0.0012676180162543562,0.11579774749768736,0.00047255778536986096,-1.4561703195637672e-05,0.13091693105106017,0.1794019272009346,-9.193768092663232e-06,0.11555539472987869,0.08855653078051541,0.001540193463936945,0.1557452992601553,0.09486274445964839,0.0007002683718294408,0.2305669800941855,0.2598681866715329,1.4637379713600204e-05,0.1362164680065913,0.23768242909212473,9.059844146935257e-05,0.14872305857242685,0.18788456111188057,0.009054721935037816,0.017208511846276503,0.39818908446451284,0.015122620162895858
longblobs,low,0.21775191594605034,0.18557911101623245,0.6146456707420186,-2.538968548135585e-06,0.23845640382157826,0.23248212455382905,0.02392659705469826,0.17633675304336685,0.41168941137515236,0.00022661075751244183,0.3132788530683254,0.1306528141163534,0.5451244276565659,0.0459392693883415,0.24924500070835354,5.404234404593333e-06,0.35954133273932265,0.16087666626170669,1.4637379713600204e-05,0.2630850652147257,0.30089677656369745,-0.00011156233335767562,0.36936721702666986,0.4078150428311296,8.09273568099383e-05,0.024120807676752454,0.2726827875310211,0.010038603560723799
longblobs,vlow,0.3087772225831296,0.298878671356047,0.5725621946753271,0.5647290910714156,0.18693298851348278,0.481461864883623,-2.538968548135585e-06,0.11328020145487236,0.7017754693312581,-2.538968548135585e-06,0.8746571767843301,0.4223608050923462,-0.0001378998405323859,0.0857259504486528,0.2412735956433953,1.4637379713600204e-05,0.06420744703827451,0.4560853333541778,1.4637379713600204e-05,0.593420136879121,0.18524333495956682,-4.022307036616778e-05,0.1436737672977137,0.3028473087598727,0.00022661075751244183,0.44272246908519014,0.28465198980716305,-2.538968548135585e-06
blobs,vhigh,0.2737958867174831,0.314844915335171,0.12427868461746792,0.0008466117365172641,0.16679737465836617,0.28141352237508127,0.0003924265009833925,0.13023280878891436,0.09485713377277898,0.05756371613083736,0.3168781747756202,0.314576494758077,0.00018488146539029831,0.17343419752746078,0.3425483270067657,0.0001524445624673936,0.006492218239731506,0.26371785564177785,0.0005066413334055312,0.1869467027931656,0.01968573774557341,2.0123424796592162e-05,0.268628565044542,0.3720139085388881,0.00012500106412441028,0.33670442203533135,0.04088172808313768,0.030636957235199845
blobs,high,0.4952785499077359,0.3307677548745873,0.2018520734039403,7.925073772652923e-05,0.04054872887641372,0.07869648659875528,0.008756643361815112,0.40572223516993006,0.16914680431799275,0.0047338158532198495,0.38207454624029674,0.10277408634598051,0.0007194962094935085,0.2256347679295186,0.46681516486363733,0.0018303338284898036,0.28029162165337035,0.3561235800722356,0.0018572671968218675,0.11996906671729907,0.5985084120034436,0.00035795009247723155,0.34550419223583917,0.3127694578627545,0.0033246691730179287,0.02196179582205954,0.2722834798504556,0.021809790250282016
blobs,med,0.5001557245807718,0.3258045542968704,0.26534580677020914,0.42512603633749924,0.6951077393427872,0.2285733674782306,0.002481278914507308,0.20596123250360793,0.32803615489824955,0.0005202517731433319,0.4071765673193242,0.08577307301771055,0.040230266801025906,0.42139375371834353,0.22357370769582657,0.0037512384142852594,0.06694031731427282,0.027823539190537906,0.004329415939835959,0.33252493671643124,0.17702090917186294,0.0001421597802178619,0.21775348824784163,0.09295945862859074,0.001096591188769614,0.2527237886016497,0.11227116158542308,0.0004892086554826849
blobs,low,0.5395216499297505,0.8654447252478672,0.4891359661283126,0.555130403983363,0.11122182112362987,0.40896519405134624,0.00025676315890297175,0.004424518543515201,0.07713449051483263,0.00039010073464439615,0.3842284893430985,0.45876268852815105,0.0033575128281321245,0.009549114154600583,0.20027406632069356,0.00022332221449752367,0.1938754516422123,0.3611614897923673,0.00019839087311795443,0.02197907672125569,0.09988121795378462,0.0004196176105076251,0.34781171786229964,0.7222753051387547,0.5584963695854899,0.26054060137455015,0.3097983047510649,0.000531881120794347
blobs,vlow,0.5666873663814714,1.0,1.0,1.0,0.541809767071922,1.0,1.0,0.9893133850402788,0.9952358456386021,1.0,1.0,1.0,1.0,0.44349648471979713,0.9975998870181918,1.0,0.9988067860397731,0.5572873637175743,1.0,1.0,1.0,1.0,0.923125677852295,1.0,1.0,0.9988067860397731,0.5543887553149188,1.0
